model,task,output,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
codellama,11,output_0,0.10363859834853448,0.004451963616250483,0.006916155268083561,0.020833333333333332,0.38235294117647056
codellama,11,output_3,0.050979765983354776,7.1516641349510945e-06,0.006607990700656698,0.020833333333333332,0.17647058823529413
codellama,12,output_0,0.18717473743753044,0.020448007360218394,0.04253665667561763,0.4,0.2857142857142857
codellama,12,output_3,0.15103968872496656,0.034052233956373766,0.04153509237206396,0.1,0.42857142857142855
codellama,14,output_0,0.33544867778073967,0.011191021613657745,0.0306036895093009,0.3,1.0
codellama,14,output_3,0.3364607951826969,0.016603106174265705,0.02924007455652195,0.3,1.0
codellama,16,output_0,0.21736693764602016,0.035424085264280966,0.040392871669006014,0.2222222222222222,0.5714285714285714
codellama,16,output_3,0.2989411425145896,0.10275380066354639,0.10888378526782773,0.5555555555555556,0.42857142857142855
codellama,17,output_0,0.1875851995128563,0.025098621243978974,0.0752421768074461,0.25,0.4
codellama,17,output_3,0.1934478384945446,0.048549177170732344,0.0752421768074461,0.25,0.4
codellama,18,output_0,0.1092330142758814,0.004264098064735445,0.004096530467361582,0.17857142857142858,0.25
codellama,18,output_3,0.03990255254073297,0.00022997313728339214,0.004618332263743741,0.07142857142857142,0.08333333333333333
codellama,19,output_0,0.2674600278724582,0.03258798048281462,0.03725213100701827,0.5,0.5
codellama,19,output_3,0.2674600278724582,0.03258798048281462,0.03725213100701827,0.5,0.5
codellama,20,output_0,0.06712806698457581,0.00016541306437165462,0.006025710199845735,0.02702702702702703,0.23529411764705882
codellama,20,output_3,0.13901779440663303,0.03228605914305353,0.04047828223546589,0.1891891891891892,0.29411764705882354
codellama,56,output_0,0.14774312015366972,0.013325104684354173,0.033202931485880265,0.26666666666666666,0.2777777777777778
codellama,56,output_3,0.14133769377030586,0.020924414331022444,0.022204138527978815,0.3,0.2222222222222222
codellama,57,output_0,0.23314464640683003,0.06885508624438187,0.07739871305815192,0.23076923076923078,0.5555555555555556
codellama,57,output_3,0.10246372697641204,0.0009581320403639472,0.011460878429386796,0.23076923076923078,0.16666666666666666
codellama,58,output_0,0.29127028222562906,0.011433361115787456,0.04253665667561763,0.1111111111111111,1.0
codellama,58,output_3,0.3690727528011637,0.09058752341587764,0.16348126556655487,0.2222222222222222,1.0
codellama,59,output_0,0.261477842918054,0.07987344010387555,0.10492682045722919,0.1111111111111111,0.75
codellama,59,output_3,0.2999684046136265,0.04021333017266262,0.048549177170732344,0.1111111111111111,1.0
codellama,61,output_0,0.1564755480556681,0.07989301200602761,0.09702958837991014,0.16326530612244897,0.2857142857142857
codellama,61,output_3,0.14920606879217627,0.0819198062602502,0.10265957094927125,0.1836734693877551,0.22857142857142856
codellama,62,output_0,0.5510258849064688,0.09554427922043669,0.10855926040543844,1.0,1.0
codellama,62,output_3,0.5510258849064688,0.09554427922043669,0.10855926040543844,1.0,1.0
codellama,63,output_0,0.15435028671142448,0.01296247288049188,0.021105340631872645,0.16666666666666666,0.4166666666666667
codellama,63,output_3,0.12041069730195489,0.016337037520317635,0.020861307243057535,0.1111111111111111,0.3333333333333333
codellama,64,output_0,0.3269220400855919,0.056748979889921815,0.06632379583706112,0.38461538461538464,0.8
codellama,64,output_3,0.39055290437790324,0.00815663954186223,0.015593439508212383,0.5384615384615384,1.0
codellama,65,output_0,0.17677685455158365,0.008945693410379244,0.01297653961077019,0.18518518518518517,0.5
codellama,65,output_3,0.14837285119866647,0.0068173243080656655,0.012600006412526161,0.07407407407407407,0.5
codellama,66,output_0,0.5423326478379544,0.07786777655685517,0.09146281479496278,1.0,1.0
codellama,66,output_3,0.5423326478379544,0.07786777655685517,0.09146281479496278,1.0,1.0
codellama,67,output_0,0.09103354300879798,0.0027941609655586165,0.013855734340073598,0.2641509433962264,0.08333333333333333
codellama,67,output_3,0.05019766172948448,0.017929093931351607,0.038993628458284406,0.018867924528301886,0.125
codellama,68,output_0,0.17685827303636853,0.010043468297595231,0.012289777457709867,0.16129032258064516,0.5238095238095238
codellama,68,output_3,0.6363904391980166,0.34426631072695274,0.36258576864575903,0.8387096774193549,1.0
meta-llama,11,output_0,0.12090270649682024,0.002429964836844446,0.006916155268083561,0.0625,0.4117647058823529
meta-llama,11,output_3,0.04900356511262725,0.0005214365205453115,0.006767333733885239,0.041666666666666664,0.14705882352941177
meta-llama,12,output_0,0.17901607496036037,0.002099071737252447,0.04253665667561763,0.1,0.5714285714285714
meta-llama,12,output_3,0.5367897345337989,0.06985342056580097,0.07730551756939454,1.0,1.0
meta-llama,14,output_0,0.3082048846866303,0.0022158492372202896,0.0306036895093009,0.2,1.0
meta-llama,14,output_3,0.38085441382953167,0.10600313379512592,0.11741452152300066,0.3,1.0
meta-llama,16,output_0,0.2801425565725156,0.022261720385938513,0.05068945828507616,0.3333333333333333,0.7142857142857143
meta-llama,16,output_3,0.17910478504089278,0.015815216252224023,0.018064241371664576,0.1111111111111111,0.5714285714285714
meta-llama,17,output_0,0.250976673115449,0.0018501491967782958,0.07705654326501768,0.125,0.8
meta-llama,17,output_3,0.1621978384945446,0.048549177170732344,0.0752421768074461,0.125,0.4
meta-llama,18,output_0,0.11671202762434396,0.00223367985805522,0.00509062111551107,0.05952380952380952,0.4
meta-llama,18,output_3,0.1038271479631237,0.0006941612131741797,0.00509062111551107,0.30952380952380953,0.1
meta-llama,19,output_0,0.32220704178423787,0.0015760361299332938,0.03725213100701827,0.5,0.75
meta-llama,19,output_3,0.393048971030478,0.01626739260030573,0.03807134866446317,0.6428571428571429,0.875
meta-llama,20,output_0,0.21881747431057424,0.007266356641898155,0.02380640228561338,0.43243243243243246,0.4117647058823529
meta-llama,20,output_3,0.08362520674214244,0.005548859617354052,0.007807293265365122,0.02702702702702703,0.29411764705882354
meta-llama,56,output_0,0.15805511552030907,0.00423785414741545,0.01687149682270973,0.3333333333333333,0.2777777777777778
meta-llama,56,output_3,0.13126116955950037,0.01494100523544796,0.021214784113664637,0.26666666666666666,0.2222222222222222
meta-llama,57,output_0,0.18202659063508814,0.00670929504614591,0.011995358092497216,0.15384615384615385,0.5555555555555556
meta-llama,57,output_3,0.1064616441118046,0.003852923702340511,0.011737242488467645,0.07692307692307693,0.3333333333333333
meta-llama,58,output_0,0.2885151966344817,0.0014145830547518839,0.04153509237206396,0.1111111111111111,1.0
meta-llama,58,output_3,0.30232503413390627,0.019320990745681776,0.07886803467883227,0.1111111111111111,1.0
meta-llama,59,output_0,0.3072298324794715,0.008758836414157646,0.10904938239261724,0.1111111111111111,1.0
meta-llama,59,output_3,0.3555239601691821,0.04021333017266262,0.048549177170732344,0.3333333333333333,1.0
meta-llama,61,output_0,0.15978395519230276,0.03125047685534894,0.10176289493427026,0.16326530612244897,0.34285714285714286
meta-llama,61,output_3,0.17578984290861302,0.0894219417949755,0.1035333482068235,0.22448979591836735,0.2857142857142857
meta-llama,62,output_0,0.4919850242424189,0.002237979421380123,0.10855926040543844,0.8571428571428571,1.0
meta-llama,62,output_3,0.5510258849064688,0.09554427922043669,0.10855926040543844,1.0,1.0
meta-llama,63,output_0,0.12394927329467868,0.00223367985805522,0.021341191098437264,0.05555555555555555,0.4166666666666667
meta-llama,63,output_3,0.1750825911534174,0.012322506848565618,0.021341191098437264,0.16666666666666666,0.5
meta-llama,64,output_0,0.4988331931507914,0.006873055150697405,0.06538279437554508,0.9230769230769231,1.0
meta-llama,64,output_3,0.30572767417295454,0.009956015900380576,0.028339296176052856,0.38461538461538464,0.8
meta-llama,65,output_0,0.22687083692006527,0.003974697892163294,0.014619760899208925,0.2222222222222222,0.6666666666666666
meta-llama,65,output_3,0.2173287431279423,0.004140235960145353,0.013322884699771994,0.18518518518518517,0.6666666666666666
meta-llama,66,output_0,0.154374603956077,0.009020544569112136,0.02117628395360857,0.14285714285714285,0.4444444444444444
meta-llama,66,output_3,0.621675766784554,0.22786788980326644,0.25883517733495004,1.0,1.0
meta-llama,67,output_0,0.12467116740729464,0.0038921055686187197,0.014446652110874305,0.18867924528301888,0.2916666666666667
meta-llama,67,output_3,0.0789673144817641,0.008862907935215967,0.014160438042154841,0.18867924528301888,0.10416666666666667
meta-llama,68,output_0,0.2406689839012423,0.01640086883883217,0.08145171807182068,0.4838709677419355,0.38095238095238093
meta-llama,68,output_3,0.2920831846260581,0.0341871549078819,0.07884604442584353,0.4838709677419355,0.5714285714285714
